Time,Reading1,Reading2
92853323,494,460
92853860,495,460
92854396,496,460
92854933,494,461
92855470,495,460
92856005,496,460
92856542,496,460
92857078,496,460
92857615,496,460
92858151,495,461
92858688,494,460
92859225,494,460
92859760,495,460
92860300,495,460
92860836,495,460
92861373,494,460
92861910,494,460
92862446,495,460
92862982,496,460
92863518,494,461
92864055,494,460
92864591,494,460
92865128,496,460
92865665,494,460
92866201,494,460
92866738,494,460
92867274,494,460
92867810,495,461
92868346,496,460
92868883,493,461
92869420,495,460
92869956,494,460
92870493,495,461
92871029,495,461
92871566,496,460
92872101,495,460
92872638,494,460
92873175,494,461
92873714,495,460
92874251,495,461
92874787,494,460
92875324,494,460
92875860,495,460
92876396,495,460
92876933,494,460
92877469,496,460
92878006,495,460
92878542,494,460
92879079,495,460
92879616,495,461
92880152,496,459
92880689,496,460
92881224,494,460
92881761,495,460
92882297,494,461
92882834,495,460
92883371,495,460
92883907,495,461
92884444,496,460
92884980,496,461
92885517,495,460
92886053,495,460
92886589,495,460
92887126,494,461
92887665,496,461
92888202,496,460
92888738,496,460
92889275,496,460
92889811,495,461
92890348,496,460
92890885,496,461
92891421,495,460
92891958,495,461
92892494,494,460
92893030,495,460
92893566,496,460
92894103,495,461
92894640,495,460
92895176,496,460
92895713,496,460
92896249,495,460
92896786,494,460
92897323,496,461
92897859,496,460
92898396,494,460
92898932,495,460
92899469,494,461
92900004,496,460
92900541,494,461
92901081,494,460
92901617,495,460
92902154,494,461
92902690,495,460
92903227,495,460
92903763,495,460
92904300,496,460
92904837,494,460
92905373,494,460
92905910,494,460
92906446,495,460
92906983,495,460
92907518,495,461
92908055,495,461
92908592,494,460
92909128,496,460
92909665,494,460
92910201,495,460
92910738,495,461
92911275,495,461
92911811,495,460
92912348,494,461
92912884,494,461
92913421,494,461
92913957,496,460
92914494,495,460
92915034,495,460
92915570,495,460
92916107,494,460
92916643,494,460
92917180,495,460
92917716,496,460
92918253,496,460
92918790,496,461
92919326,494,461
92919863,494,460
92920399,495,460
92920936,496,461
92921473,496,461
92922009,495,461
92922545,494,460
92923081,495,460
92923618,494,461
92924154,495,460
92924691,495,461
92925228,494,460
92925764,495,460
92926301,494,460
92926837,495,460
92927374,496,460
92927910,496,460
92928447,496,460
92928987,495,461
92929523,495,460
92930060,494,461
92930596,495,460
92931133,495,461
92931670,495,460
92932206,495,460
